match_id,date,batter,batting_team,bowling_team,venue,runs_avg_last_5,runs_avg_last_10,career_avg,venue_avg,pvt_avg,pvp_match_avg,runs_next_match
548346,2012-04-29,A Ashish Reddy,deccan chargers,mumbai indians,Wankhede Stadium,0.0,0.0,0.0,0.0,0.0,0.4642857142857143,3.0
548352,2012-05-04,A Ashish Reddy,deccan chargers,chennai super kings,"Ma Chidambaram Stadium, Chepauk",10.0,10.0,10.0,0.0,0.0,2.0,8.0
548359,2012-05-08,A Ashish Reddy,deccan chargers,punjab kings,"Rajiv Gandhi International Stadium, Uppal",6.5,6.5,6.5,0.0,0.0,0.8333333333333334,10.0
548373,2012-05-18,A Ashish Reddy,deccan chargers,rajasthan royals,"Rajiv Gandhi International Stadium, Uppal",7.0,7.0,7.0,8.0,0.0,1.6666666666666667,4.0
548376,2012-05-20,A Ashish Reddy,deccan chargers,royal challengers bengaluru,"Rajiv Gandhi International Stadium, Uppal",7.75,7.75,7.75,9.0,0.0,1.25,7.0
598000,2013-04-05,A Ashish Reddy,sunrisers hyderabad,pune warriors,"Rajiv Gandhi International Stadium, Uppal",7.0,7.0,7.0,7.333333333333333,0.0,1.75,14.0
598004,2013-04-07,A Ashish Reddy,sunrisers hyderabad,royal challengers bengaluru,"Rajiv Gandhi International Stadium, Uppal",6.4,7.0,7.0,7.25,4.0,0.779004329004329,3.0
598048,2013-04-09,A Ashish Reddy,sunrisers hyderabad,royal challengers bengaluru,M Chinnaswamy Stadium,8.6,8.0,8.0,0.0,9.0,1.211111111111111,16.0
598010,2013-04-12,A Ashish Reddy,sunrisers hyderabad,delhi capitals,Feroz Shah Kotla,7.6,7.375,7.375,0.0,0.0,1.7738095238095237,4.0
598013,2013-04-14,A Ashish Reddy,sunrisers hyderabad,kolkata knight riders,Eden Gardens,8.8,8.333333333333334,8.333333333333334,0.0,0.0,0.5,19.0
598018,2013-04-17,A Ashish Reddy,sunrisers hyderabad,pune warriors,Maharashtra Cricket Association Stadium,8.8,7.9,7.9,0.0,7.0,1.1434065934065933,7.0
598021,2013-04-19,A Ashish Reddy,sunrisers hyderabad,punjab kings,"Rajiv Gandhi International Stadium, Uppal",11.2,8.8,8.909090909090908,8.6,8.0,0.9333333333333333,36.0
